time,clock,step,dvx,dvy,dvz,ax,ay,az,avx,avy,avz,heading,twind,twinda,windacc,awind,cmdrudder,cmdsail,lat,long
1568025114.721779,0.025664,0,0.383580,0.000000,0.000000,-0.019638,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.616420,0.000000,-0.555360,1.340759,50.359740,-4.114917
1568025114.796053,0.099954,0,0.381045,0.000000,0.000000,-0.019379,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.618955,0.000000,-0.555360,1.340759,50.359741,-4.114917
1568025114.895999,0.199896,0,0.427174,0.000528,0.000000,0.928325,0.001147,0.000000,0.000000,0.000000,0.037590,0.001236,0.000000,2.000000,1.572826,-0.001572,-0.554674,1.340759,50.359741,-4.114917
1568025114.996022,0.299914,0,0.515112,0.004225,0.000000,0.840233,0.006892,0.000000,0.000000,0.000000,0.092721,0.008202,-0.000000,2.000000,1.484894,-0.011048,-0.550787,1.340759,50.359742,-4.114917
1568025115.096145,0.400057,0,0.594418,0.011657,0.000000,0.756611,0.014838,0.000000,0.000000,0.000000,0.129183,0.019608,0.000000,2.000000,1.405631,-0.027901,-0.544365,1.340759,50.359742,-4.114917
1568025115.196023,0.499920,0,0.665581,0.022582,0.000000,0.678997,0.023037,0.000000,0.000000,0.000000,0.153048,0.033915,0.000000,2.000000,1.334610,-0.050836,-0.536210,1.340759,50.359743,-4.114917
1568025115.296081,0.599987,0,0.729172,0.036610,0.000000,0.608058,0.030529,0.000000,0.000000,0.000000,0.169551,0.050166,-0.000000,2.000000,1.271355,-0.078966,-0.526813,1.340759,50.359743,-4.114917
1568025115.396087,0.699990,0,0.785791,0.053371,0.000000,0.543970,0.036947,0.000000,0.000000,0.000000,0.181878,0.067817,-0.000000,2.000000,1.215382,-0.111744,-0.516450,1.340759,50.359744,-4.114917
1568025115.496010,0.799919,0,0.836045,0.072537,0.000000,0.486635,0.042222,0.000000,0.000000,0.000000,0.191606,0.086546,-0.000000,2.000000,1.166213,-0.148785,-0.505278,1.340759,50.359745,-4.114917
1568025115.596001,0.899894,0,0.880527,0.093808,0.000000,0.435764,0.046425,0.000000,0.000000,0.000000,0.199438,0.106136,0.000000,2.000000,1.123397,-0.189738,-0.493402,1.340759,50.359746,-4.114917
