time,clock,step,dvx,dvy,dvz,ax,ay,az,avx,avy,avz,heading,twind,windacc,awind,cmdrudder,cmdsail,lat,long
1565621653.710097,0.019411,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.555360,0.670379,50.695087,-4.234104
1565621653.790600,0.099921,0,0.400564,0.368856,0.000000,-0.021416,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.599436,0.000000,-0.555360,0.670379,50.695087,-4.234104
1565621653.890571,0.199899,0,0.414491,0.379394,0.000000,0.273314,0.000936,0.000000,0.000000,0.000000,0.081572,0.003426,0.000235,1.585510,-0.004321,-0.553455,0.670445,50.695087,-4.234104
1565621653.990587,0.299924,0,0.441185,0.398980,0.000000,0.263461,0.004197,0.000000,0.000000,0.000000,0.154215,0.015929,0.001136,1.558831,-0.020438,-0.546444,0.670695,50.695087,-4.234104
1565621654.090624,0.399948,0,0.467064,0.417220,0.000000,0.258142,0.008704,0.000000,0.000000,0.000000,0.193140,0.033704,0.002481,1.533017,-0.043977,-0.536330,0.671067,50.695087,-4.234104
1565621654.190604,0.499932,0,0.492511,0.434444,0.000000,0.256818,0.013930,0.000000,0.000000,0.000000,0.212293,0.054188,0.004094,1.507726,-0.071908,-0.524466,0.671514,50.695087,-4.234104
1565621654.290570,0.599898,0,0.517733,0.450795,0.000000,0.257561,0.019591,0.000000,0.000000,0.000000,0.220357,0.075919,0.005855,1.482790,-0.102481,-0.511639,0.672000,50.695091,-4.234105
1565621654.390618,0.699948,0,0.542821,0.466298,0.000000,0.259181,0.025507,0.000000,0.000000,0.000000,0.222423,0.098096,0.007682,1.458158,-0.134740,-0.498299,0.672504,50.695091,-4.234105
1565621654.490585,0.799917,0,0.567771,0.480897,0.000000,0.261015,0.031545,0.000000,0.000000,0.000000,0.221341,0.120271,0.009515,1.433871,-0.168145,-0.484716,0.673009,50.695091,-4.234105
1565621654.590600,0.899930,0,0.592602,0.494543,0.000000,0.262695,0.037624,0.000000,0.000000,0.000000,0.218632,0.142254,0.011308,1.409955,-0.202486,-0.471014,0.673501,50.695091,-4.234105
1565621654.690633,0.999963,0,0.617265,0.507142,0.000000,0.264021,0.043671,0.000000,0.000000,0.000000,0.215071,0.163922,0.013021,1.386499,-0.237626,-0.457287,0.673971,50.695091,-4.234105
1565621654.790584,1.099914,0,0.641706,0.518604,0.000000,0.264912,0.049631,0.000000,0.000000,0.000000,0.211045,0.185203,0.014617,1.363604,-0.273484,-0.443596,0.674408,50.695091,-4.234105
1565621654.890615,1.199937,0,0.665837,0.528828,0.000000,0.265323,0.055452,0.000000,0.000000,0.000000,0.206741,0.206031,0.016058,1.341401,-0.309959,-0.430001,0.674802,50.695095,-4.234105
1565621654.990588,1.299917,0,0.689679,0.537766,0.000000,0.265216,0.061105,0.000000,0.000000,0.000000,0.202243,0.226445,0.017316,1.319921,-0.347123,-0.416496,0.675146,50.695095,-4.234105
1565621655.090626,1.399956,0,0.713141,0.545332,0.000000,0.264583,0.066543,0.000000,0.000000,0.000000,0.197614,0.246393,0.018358,1.299298,-0.384876,-0.403131,0.675430,50.695095,-4.234106
1565621655.190614,1.499936,0,0.736190,0.551470,0.000000,0.263443,0.071741,0.000000,0.000000,0.000000,0.192872,0.265874,0.019153,1.279613,-0.423195,-0.389924,0.675646,50.695095,-4.234106
1565621655.290597,1.599933,0,0.758770,0.556128,0.000000,0.261795,0.076662,0.000000,0.000000,0.000000,0.188044,0.284869,0.019674,1.260961,-0.462003,-0.376905,0.675788,50.695095,-4.234106
1565621655.390627,1.699959,0,0.780874,0.559273,0.000000,0.259647,0.081286,0.000000,0.000000,0.000000,0.183146,0.303397,0.019896,1.243395,-0.501295,-0.364074,0.675849,50.695095,-4.234107
1565621655.490610,1.799929,0,0.802398,0.560875,0.000000,0.257019,0.085572,0.000000,0.000000,0.000000,0.178200,0.321396,0.019798,1.227037,-0.540873,-0.351490,0.675822,50.695099,-4.234107
1565621655.590626,1.899952,0,0.823371,0.560928,0.000000,0.253938,0.089517,0.000000,0.000000,0.000000,0.173213,0.338912,0.019360,1.211899,-0.580762,-0.339134,0.675703,50.695099,-4.234107
1565621655.690629,1.999958,0,0.843750,0.559435,0.000000,0.250401,0.093090,0.000000,0.000000,0.000000,0.168213,0.355931,0.018569,1.198043,-0.620843,-0.327029,0.675487,50.695099,-4.234107
1565621655.790604,2.099923,0,0.863502,0.556410,0.000000,0.246456,0.096286,0.000000,0.000000,0.000000,0.163209,0.372447,0.017413,1.185510,-0.660999,-0.315191,0.675172,50.695099,-4.234108
1565621655.890623,2.199951,0,0.882608,0.551885,0.000000,0.242132,0.099094,0.000000,0.000000,0.000000,0.158218,0.388460,0.015887,1.174325,-0.701121,-0.303632,0.674756,50.695103,-4.234108
1565621655.990583,2.299916,0,0.901056,0.545898,0.000000,0.237447,0.101506,0.000000,0.000000,0.000000,0.153252,0.403978,0.013988,1.164496,-0.741109,-0.292356,0.674236,50.695103,-4.234109
1565621656.090655,2.399987,0,0.918822,0.538510,0.000000,0.232442,0.103522,0.000000,0.000000,0.000000,0.148326,0.418994,0.011720,1.156028,-0.780819,-0.281377,0.673615,50.695103,-4.234110
1565621656.190662,2.499998,0,0.935917,0.529773,0.000000,0.227150,0.105148,0.000000,0.000000,0.000000,0.143451,0.433530,0.009086,1.148898,-0.820182,-0.270689,0.672891,50.695103,-4.234110
1565621656.290636,2.599966,0,0.952327,0.519764,0.000000,0.221601,0.106387,0.000000,0.000000,0.000000,0.138640,0.447586,0.006099,1.143086,-0.859064,-0.260300,0.672068,50.695103,-4.234111
1565621656.390638,2.699968,0,0.968028,0.508581,0.000000,0.215841,0.107247,0.000000,0.000000,0.000000,0.133899,0.461148,0.002778,1.138561,-0.897303,-0.250226,0.671150,50.695107,-4.234112
1565621656.490617,2.799939,0,0.983035,0.496306,0.000000,0.209898,0.107742,0.000000,0.000000,0.000000,0.129236,0.474236,-0.000860,1.135270,-0.934823,-0.240462,0.670140,50.695107,-4.234112
1565621656.590636,2.899966,0,0.997359,0.483026,0.000000,0.203800,0.107885,0.000000,0.000000,0.000000,0.124664,0.486864,-0.004795,1.133155,-0.971547,-0.231001,0.669045,50.695107,-4.234113
1565621656.690603,2.999922,0,1.011034,0.468808,0.000000,0.197583,0.107701,0.000000,0.000000,0.000000,0.120190,0.499068,-0.009011,1.132154,-1.007465,-0.221823,0.667866,50.695107,-4.234114
1565621656.790590,3.099924,0,1.024007,0.453819,0.000000,0.191291,0.107202,0.000000,0.000000,0.000000,0.115821,0.510800,-0.013461,1.132202,-1.042334,-0.212969,0.666616,50.695110,-4.234115
1565621656.890607,3.199942,0,1.036337,0.438109,0.000000,0.184951,0.106415,0.000000,0.000000,0.000000,0.111545,0.522112,-0.018131,1.133222,-1.076211,-0.204404,0.665299,50.695110,-4.234116
1565621656.990604,3.299927,0,1.048030,0.421781,0.000000,0.178578,0.105355,0.000000,0.000000,0.000000,0.107385,0.533010,-0.022989,1.135141,-1.109033,-0.196127,0.663923,50.695110,-4.234116
