lat,long,heading,v,dtheta,windN,windA,windT,rudder,sail
50.359736,-4.114917,0.000000,0.407342,0.000000,0.000000,1.592658,0.000000,-0.555360,1.340759,
50.359736,-4.114917,0.000000,0.404484,0.000000,0.000000,1.595515,0.000000,-0.555360,1.340759,
50.359737,-4.114917,0.001343,0.449356,0.040361,-0.000000,1.550645,-0.001732,-0.554614,1.340759,
50.359737,-4.114917,0.008697,0.535147,0.097098,-0.000000,1.464881,-0.011874,-0.550510,1.340759,
50.359738,-4.114917,0.020542,0.612486,0.133453,-0.000000,1.387700,-0.029608,-0.543836,1.340759,
50.359738,-4.114917,0.035245,0.681995,0.156748,0.000000,1.318648,-0.053471,-0.535446,1.340759,
50.359739,-4.114917,0.051833,0.744360,0.172680,-0.000000,1.257232,-0.082513,-0.525841,1.340759,
50.359740,-4.114917,0.069769,0.800279,0.184524,0.000000,1.202962,-0.116163,-0.515294,1.340759,
50.359740,-4.114917,0.088739,0.850443,0.193842,0.000000,1.155364,-0.154019,-0.503958,1.340759,
50.359741,-4.114917,0.108532,0.895510,0.201312,-0.000000,1.113990,-0.195718,-0.491936,1.340759,
50.359742,-4.114917,0.128983,0.936096,0.207240,0.000000,1.078422,-0.240866,-0.479314,1.340759,
50.359743,-4.114917,0.149946,0.972767,0.211797,0.000000,1.048269,-0.289018,-0.466167,1.340759,
50.359744,-4.114918,0.171291,1.006031,0.215106,-0.000000,1.023164,-0.339686,-0.452569,1.340759,
50.359745,-4.114918,0.192899,1.036338,0.217271,-0.000000,1.002761,-0.392343,-0.438594,1.340759,
50.359746,-4.114918,0.214662,1.064080,0.218386,0.000000,0.986730,-0.446447,-0.424313,1.340759,
50.359747,-4.114919,0.236478,1.089595,0.218537,0.000000,0.974748,-0.501451,-0.409795,1.340759,
50.359748,-4.114919,0.258256,1.113173,0.217805,0.000000,0.966503,-0.556823,-0.395107,1.340759,
50.359749,-4.114919,0.279911,1.135054,0.216264,0.000000,0.961684,-0.612061,-0.380316,1.340759,
50.359750,-4.114920,0.301368,1.155442,0.213984,0.000000,0.959987,-0.666702,-0.365485,1.340759,
50.359751,-4.114920,0.322555,1.174504,0.211033,-0.000000,0.961107,-0.720336,-0.350675,1.340759,
50.359752,-4.114921,0.343410,1.192376,0.207474,-0.000000,0.964748,-0.772610,-0.335944,1.340759,
50.359753,-4.114921,0.363876,1.209169,0.203370,-0.000000,0.970617,-0.823230,-0.321346,1.340759,
50.359754,-4.114922,0.383901,1.224970,0.198781,0.000000,0.978433,-0.871961,-0.306931,1.340759,
50.359755,-4.114923,0.403441,1.239850,0.193766,0.000000,0.987922,-0.918628,-0.292747,1.340759,
50.359756,-4.114923,0.422456,1.253864,0.188384,-0.000000,0.998827,-0.963104,-0.278837,1.340759,
50.359757,-4.114924,0.440915,1.267057,0.182692,0.000000,1.010902,-1.005311,-0.265237,1.340759,
50.359759,-4.114925,0.458788,1.279461,0.176745,0.000000,1.023920,-1.045213,-0.251983,1.340759,
50.359760,-4.114926,0.476054,1.291105,0.170596,0.000000,1.037672,-1.082805,-0.239102,1.340759,
50.359761,-4.114927,0.492696,1.302012,0.164297,-0.000000,1.051964,-1.118111,-0.226619,1.340758,
50.359762,-4.114927,0.508702,1.312199,0.157897,-0.000000,1.066624,-1.151178,-0.214554,1.340759,
50.359763,-4.114928,0.524065,1.321685,0.151441,-0.000000,1.081496,-1.182069,-0.202922,1.340759,
50.359764,-4.114929,0.538783,1.330487,0.144973,0.000000,1.096443,-1.210862,-0.191734,1.340759,
50.359765,-4.114930,0.552855,1.338619,0.138530,0.000000,1.111345,-1.237642,-0.180997,1.340759,
50.359766,-4.114931,0.566288,1.346101,0.132149,0.000000,1.126098,-1.262502,-0.170715,1.340759,
50.359767,-4.114932,0.579088,1.352950,0.125862,0.000000,1.140615,-1.285539,-0.160888,1.340759,
50.359768,-4.114933,0.591269,1.359186,0.119695,0.000000,1.154823,-1.306852,-0.151513,1.340759,
50.359769,-4.114934,0.602842,1.364831,0.113672,0.000000,1.168661,-1.326538,-0.142584,1.340759,
50.359770,-4.114936,0.613824,1.369906,0.107815,-0.000000,1.182081,-1.344697,-0.134094,1.340759,
50.359772,-4.114937,0.624232,1.374438,0.102137,0.000000,1.195047,-1.361423,-0.126032,1.340759,
50.359773,-4.114938,0.634086,1.378450,0.096654,-0.000000,1.207531,-1.376811,-0.118388,1.340758,
50.359774,-4.114939,0.643404,1.381971,0.091374,0.000000,1.219515,-1.390950,-0.111147,1.340759,
50.359775,-4.114940,0.652209,1.385028,0.086304,0.000000,1.230986,-1.403927,-0.104298,1.340759,
50.359776,-4.114941,0.660521,1.387648,0.081448,-0.000000,1.241940,-1.415823,-0.097824,1.340759,
50.359777,-4.114942,0.668361,1.389861,0.076809,-0.000000,1.252377,-1.426718,-0.091711,1.340759,
50.359778,-4.114944,0.675752,1.391694,0.072387,0.000000,1.262303,-1.436687,-0.085944,1.340759,
50.359779,-4.114945,0.682715,1.393176,0.068179,-0.000000,1.271725,-1.445798,-0.080506,1.340758,
50.359780,-4.114946,0.689270,1.394335,0.064182,0.000000,1.280656,-1.454118,-0.075382,1.340759,
50.359781,-4.114947,0.695440,1.395197,0.060392,0.000000,1.289110,-1.461709,-0.070558,1.340759,
50.359782,-4.114949,0.701244,1.395790,0.056803,0.000000,1.297101,-1.468629,-0.066016,1.340759,
